,MA_SO_SV,HOC_KY,TC_DANGKY,TC_HOANTHANH,GPA,CPA,semester_order,NAM_TUYENSINH,PTXT,TOHOP_XT,DIEM_TRUNGTUYEN,DIEM_CHUAN,ADMISSION_GAP
29,005f6810cbce,HK1 2024-2025,11,0,0,0,20241,2021,1,A00,21.4,16.98,4.419999999999998
30,00622a55ea5f,HK1 2024-2025,22,0,0,0,20241,2021,1,A01,24.68,23.15,1.5300000000000011
31,00622ba0e093,HK1 2024-2025,17,0,0,0,20241,2022,100,A00,24.84,20.66,4.18
32,006511ece46c,HK1 2024-2025,16,0,0,0,20241,2023,100,D01,18.88,17.89,0.9899999999999984
33,006905d0eae3,HK1 2024-2025,23,0,0,0,20241,2023,100,A00,24.19,23.25,0.9400000000000013
34,006dfc5f9e87,HK1 2024-2025,13,0,0,0,20241,2021,1,V00,23.66,22.44,1.2199999999999989
35,0072d9ead36e,HK1 2024-2025,17,0,0,0,20241,2024,100,A00,19.19,16.73,2.460000000000001
36,0075b7406dc9,HK1 2024-2025,18,0,0,0,20241,2024,100,A01,22.71,22.32,0.39000000000000057
37,007df7cf08da,HK1 2024-2025,25,0,0,0,20241,2023,100,A00,25.38,24.65,0.7300000000000004
38,0083137da9c9,HK1 2024-2025,22,0,0,0,20241,2021,1,A00,22.23,17.04,5.190000000000001
39,0083153279ba,HK1 2024-2025,24,0,0,0,20241,2022,100,A00,25.15,20.04,5.109999999999999
40,0086b155f1ac,HK1 2024-2025,18,0,0,0,20241,2024,100,D07,23.96,23.79,0.1700000000000017
41,0086e7e683c3,HK1 2024-2025,19,0,0,0,20241,2024,100,A01,19.84,19.39,0.4499999999999993
42,00902632008e,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,25.76,22.4,3.360000000000003
43,0093a8bec4ee,HK1 2024-2025,13,0,0,0,20241,2023,100,V00,23.52,21.11,2.41
44,0095322b228f,HK1 2024-2025,24,0,0,0,20241,2018,1,A00,18.59,16.03,2.5599999999999987
45,0096b8bfaff1,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,22.36,22.31,0.05000000000000071
46,009a2b8d9200,HK1 2024-2025,17,0,0,0,20241,2023,100,D01,20.03,17.11,2.9200000000000017
47,009ea5859391,HK1 2024-2025,21,0,0,0,20241,2022,100,D07,22.71,21.5,1.2100000000000009
48,00b0b8b46ada,HK1 2024-2025,12,0,0,0,20241,2024,100,V02,22.47,21.52,0.9499999999999993
49,00b1d9e93732,HK1 2024-2025,19,0,0,0,20241,2024,100,A00,24.71,24.22,0.490000000000002
50,00b3df084d76,HK1 2024-2025,13,0,0,0,20241,2021,1,V02,23.11,23.11,0.0
51,00b67051bdd5,HK1 2024-2025,17,0,0,0,20241,2022,100,A01,24.1,20.34,3.7600000000000016
52,00b98e87f824,HK1 2024-2025,11,0,0,0,20241,2021,1,D07,23.71,21.93,1.7800000000000011
53,00b9b4a760fd,HK1 2024-2025,21,0,0,0,20241,2023,100,A00,23.23,21.9,1.3300000000000018
54,00beb038da7f,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,21.12,19.92,1.1999999999999993
55,00bfbed43721,HK1 2024-2025,22,0,0,0,20241,2023,100,V00,26.68,21.45,5.23
56,00c3a13310ec,HK1 2024-2025,20,0,0,0,20241,2023,409,X05,26.39,26.29,0.10000000000000142
57,00c9025f14c3,HK1 2024-2025,17,0,0,0,20241,2020,1,A00,24.27,21.5,2.7699999999999996
58,00cc6a1df981,HK1 2024-2025,19,0,0,0,20241,2021,1,A01,24.43,15.92,8.51
59,00cf448aabe0,HK1 2024-2025,19,0,0,0,20241,2021,1,A00,23.52,15.84,7.68
60,00d333f5bda1,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,25.41,23.1,2.3099999999999987
61,00d519503816,HK1 2024-2025,19,0,0,0,20241,2023,100,A01,22.54,22.09,0.4499999999999993
62,00dde779ae5d,HK1 2024-2025,25,0,0,0,20241,2022,100,A01,18.0,16.09,1.9100000000000001
63,00de0ac86d8b,HK1 2024-2025,18,0,0,0,20241,2023,100,A00,24.33,19.12,5.209999999999997
64,00e1185df99f,HK1 2024-2025,19,0,0,0,20241,2021,1,A01,22.43,22.28,0.14999999999999858
65,00e28d46068a,HK1 2024-2025,21,0,0,0,20241,2022,100,A01,23.66,22.17,1.4899999999999984
66,00e3853bfd7f,HK1 2024-2025,18,0,0,0,20241,2021,1,A00,23.8,16.24,7.560000000000002
67,00e430df5068,HK1 2024-2025,22,0,0,0,20241,2023,100,A00,22.26,20.05,2.210000000000001
68,00eb3b22ff96,HK1 2024-2025,11,0,0,0,20241,2020,1,A00,23.76,21.36,2.400000000000002
69,00efaad0a63f,HK1 2024-2025,17,0,0,0,20241,2020,1,A01,21.72,20.04,1.6799999999999997
70,00f0db67ab17,HK1 2024-2025,25,0,0,0,20241,2023,100,A00,25.32,24.38,0.9400000000000013
71,00f38e8bf55b,HK1 2024-2025,19,0,0,0,20241,2021,1,A00,23.88,23.68,0.1999999999999993
72,00f5c95b322a,HK1 2024-2025,18,0,0,0,20241,2021,1,A00,21.47,16.13,5.34
73,00fcc5b9f55e,HK1 2024-2025,19,0,0,0,20241,2021,1,A00,24.44,23.07,1.370000000000001
74,00fdd570ce18,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,25.72,23.65,2.0700000000000003
75,01082947b009,HK1 2024-2025,19,0,0,0,20241,2023,409,X01,25.74,25.44,0.29999999999999716
76,010d7d1b2bd1,HK1 2024-2025,19,0,0,0,20241,2022,100,V00,22.64,20.86,1.7800000000000011
77,0119e86a9672,HK1 2024-2025,9,0,0,0,20241,2020,1,A00,21.64,19.51,2.129999999999999
78,011c26a59944,HK1 2024-2025,23,0,0,0,20241,2023,100,A01,24.24,24.19,0.04999999999999716
79,011d6793c06b,HK1 2024-2025,14,0,0,0,20241,2021,1,A01,25.68,25.63,0.05000000000000071
80,01224dfb3ee2,HK1 2024-2025,24,0,0,0,20241,2022,100,A00,20.56,16.08,4.48
81,0125b1e056c0,HK1 2024-2025,15,0,0,0,20241,2020,1,B00,21.14,15.99,5.15
82,012d09f8413e,HK1 2024-2025,25,0,0,0,20241,2023,100,V00,23.63,21.22,2.41
83,013178321f7c,HK1 2024-2025,20,0,0,0,20241,2023,100,B00,18.72,17.16,1.5599999999999987
84,013bda91f864,HK1 2024-2025,12,0,0,0,20241,2018,1,V02,19.1,19.05,0.05000000000000071
85,013bf4b1c8b2,HK1 2024-2025,16,0,0,0,20241,2024,100,A00,22.69,21.78,0.9100000000000001
86,013cdd871ac3,HK1 2024-2025,24,0,0,0,20241,2022,100,D01,24.87,24.77,0.10000000000000142
87,013ebdd8b26e,HK1 2024-2025,8,0,0,0,20241,2021,1,A01,19.81,16.3,3.509999999999998
88,0141c8e73fb3,HK1 2024-2025,21,0,0,0,20241,2022,100,A00,23.79,20.91,2.879999999999999
89,0148ccfdca41,HK1 2024-2025,21,0,0,0,20241,2023,100,A00,17.58,16.93,0.6499999999999986
90,014c27f4dfd2,HK1 2024-2025,19,0,0,0,20241,2023,100,A00,24.52,24.36,0.16000000000000014
91,014fa3fc117d,HK1 2024-2025,20,0,0,0,20241,2024,100,B00,21.82,21.07,0.75
92,01532b63ebb4,HK1 2024-2025,23,0,0,0,20241,2022,100,A00,22.0,21.9,0.10000000000000142
93,0154d786b055,HK1 2024-2025,19,0,0,0,20241,2023,100,A00,25.93,20.1,5.829999999999998
94,0157f32115b5,HK1 2024-2025,17,0,0,0,20241,2024,100,A01,25.02,24.76,0.259999999999998
95,01584b9d75b0,HK1 2024-2025,17,0,0,0,20241,2022,409,X01,24.84,22.21,2.629999999999999
96,015a9bc1c271,HK1 2024-2025,12,0,0,0,20241,2019,1,A01,18.62,14.82,3.8000000000000007
97,015b3b7a3220,HK1 2024-2025,25,0,0,0,20241,2022,100,D01,24.66,24.56,0.10000000000000142
98,015b6b5e54ad,HK1 2024-2025,15,0,0,0,20241,2024,100,A00,25.1,24.08,1.0200000000000031
99,015cb9311ae6,HK1 2024-2025,22,0,0,0,20241,2023,100,V02,21.44,20.58,0.860000000000003
100,01657628e9f7,HK1 2024-2025,27,0,0,0,20241,2022,100,A00,23.59,22.34,1.25
101,016d7cf6fd99,HK1 2024-2025,16,0,0,0,20241,2024,100,A00,22.95,21.54,1.4100000000000001
102,01717288a786,HK1 2024-2025,3,0,0,0,20241,2019,1,A01,21.91,21.55,0.35999999999999943
103,0171b793add6,HK1 2024-2025,16,0,0,0,20241,2024,100,A00,22.41,21.42,0.9899999999999984
104,01789364fd9b,HK1 2024-2025,16,0,0,0,20241,2024,100,D01,21.5,21.5,0.0
105,017afe8866c6,HK1 2024-2025,25,0,0,0,20241,2023,100,A00,25.37,24.02,1.3500000000000014
106,017e495732d3,HK1 2024-2025,12,0,0,0,20241,2024,100,V00,22.8,21.74,1.0600000000000023
107,0186296bb9bb,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,20.66,19.92,0.7399999999999984
108,01870506f872,HK1 2024-2025,19,0,0,0,20241,2024,100,A01,25.06,24.71,0.34999999999999787
109,01880744b9f9,HK1 2024-2025,19,0,0,0,20241,2023,100,A00,22.62,22.13,0.490000000000002
110,01890b62ae80,HK1 2024-2025,18,0,0,0,20241,2024,200,A00,25.72,24.72,1.0
111,018cd28f25f1,HK1 2024-2025,27,0,0,0,20241,2021,1,A00,23.34,23.05,0.28999999999999915
112,01983415cb31,HK1 2024-2025,20,0,0,0,20241,2023,100,V02,19.09,18.95,0.14000000000000057
113,0199c0c1d8c1,HK1 2024-2025,31,0,0,0,20241,2018,1,A00,18.13,17.83,0.3000000000000007
114,01a7bfd90a1b,HK1 2024-2025,35,0,0,0,20241,2020,1,A01,24.61,19.65,4.960000000000001
115,01a904096dc6,HK1 2024-2025,20,0,0,0,20241,2023,100,D01,24.36,24.26,0.09999999999999787
116,01a905289ce7,HK1 2024-2025,7,0,0,0,20241,2020,1,A00,23.31,22.96,0.34999999999999787
117,01aa5a8d8693,HK1 2024-2025,4,0,0,0,20241,2018,1,A01,19.3,17.78,1.5199999999999996
118,01ab32e6af45,HK1 2024-2025,10,0,0,0,20241,2021,1,A01,25.91,24.71,1.1999999999999993
119,01adecd2dacd,HK1 2024-2025,60,0,0,0,20241,2020,1,A01,24.61,19.61,5.0
120,01aee09cb5fb,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,21.35,21.15,0.20000000000000284
121,01b36b7c3304,HK1 2024-2025,9,0,0,0,20241,2021,1,A00,20.8,15.89,4.91
122,01b6b5c67f02,HK1 2024-2025,13,0,0,0,20241,2024,100,D01,24.31,23.67,0.639999999999997
123,01b796d5fee8,HK1 2024-2025,17,0,0,0,20241,2024,100,D01,19.97,19.62,0.34999999999999787
124,01ba013068d4,HK1 2024-2025,14,0,0,0,20241,2019,1,A00,16.92,14.76,2.160000000000002
125,01bce9c14d48,HK1 2024-2025,17,0,0,0,20241,2021,1,A01,26.58,23.98,2.599999999999998
126,01bf9c1fe1a9,HK1 2024-2025,1,0,0,0,20241,2020,1,A00,23.94,23.43,0.5100000000000016
127,01c526c25022,HK1 2024-2025,22,0,0,0,20241,2022,100,A01,18.12,16.01,2.1099999999999994
128,01c95ccbbaf2,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,23.18,22.77,0.41000000000000014
129,01ca720747f9,HK1 2024-2025,27,0,0,0,20241,2022,100,A01,21.99,21.54,0.4499999999999993
130,01ccad4de67f,HK1 2024-2025,21,0,0,0,20241,2022,100,A00,24.41,20.01,4.399999999999999
131,01cdeb31a501,HK1 2024-2025,16,0,0,0,20241,2024,100,V00,25.0,22.22,2.780000000000001
132,01cfdb25b301,HK1 2024-2025,18,0,0,0,20241,2024,100,A01,23.05,22.84,0.21000000000000085
133,01d1e32536ca,HK1 2024-2025,2,0,0,0,20241,2018,1,V02,22.49,19.1,3.389999999999997
134,01d22e375231,HK1 2024-2025,18,0,0,0,20241,2021,1,A00,22.87,21.99,0.8800000000000026
135,01d61968fa56,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,24.44,24.34,0.10000000000000142
136,01d75ffcd443,HK1 2024-2025,22,0,0,0,20241,2022,100,A00,25.4,25.4,0.0
137,01d83ac885f7,HK1 2024-2025,21,0,0,0,20241,2023,100,D01,21.79,21.76,0.029999999999997584
138,01d9a58e91ee,HK1 2024-2025,20,0,0,0,20241,2022,100,A01,24.02,22.92,1.0999999999999979
139,01db7a6ae16a,HK1 2024-2025,35,0,0,0,20241,2021,1,A01,22.8,20.64,2.16
140,01dd0314a0bb,HK1 2024-2025,20,0,0,0,20241,2022,100,A00,25.6,25.25,0.3500000000000014
141,01e297fee555,HK1 2024-2025,22,0,0,0,20241,2021,1,D07,26.97,23.96,3.009999999999998
142,01e4f5a9fb66,HK1 2024-2025,21,0,0,0,20241,2022,100,A00,23.87,23.38,0.490000000000002
143,01e8c21fe50c,HK1 2024-2025,24,0,0,0,20241,2022,100,A00,25.57,20.37,5.199999999999999
144,01eef1ef3c7c,HK1 2024-2025,23,0,0,0,20241,2022,100,A01,20.01,16.25,3.7600000000000016
145,01f86a9f1812,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,24.82,23.33,1.490000000000002
146,01f86fbe0646,HK1 2024-2025,19,0,0,0,20241,2023,100,A00,25.91,20.28,5.629999999999999
147,01fc765503d1,HK1 2024-2025,1,0,0,0,20241,2020,1,A00,22.94,21.64,1.3000000000000007
148,0200f06e5b91,HK1 2024-2025,17,0,0,0,20241,2022,100,V00,23.48,20.53,2.9499999999999993
149,0201843d82d9,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,24.47,24.13,0.33999999999999986
150,0210164fc9b0,HK1 2024-2025,20,0,0,0,20241,2022,100,A00,21.72,19.61,2.1099999999999994
151,0213fc858bf1,HK1 2024-2025,15,0,0,0,20241,2023,100,D01,20.51,19.41,1.1000000000000014
152,021d740c6531,HK1 2024-2025,19,0,0,0,20241,2022,100,A00,25.35,25.25,0.10000000000000142
153,0226488ba47d,HK1 2024-2025,16,0,0,0,20241,2024,200,D07,24.45,22.75,1.6999999999999993
154,022b66e05fca,HK1 2024-2025,16,0,0,0,20241,2024,100,A00,21.75,21.16,0.5899999999999999
155,0238299b5262,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,23.58,23.21,0.36999999999999744
156,023e0741f72c,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,24.28,24.18,0.10000000000000142
157,023fee0dbb25,HK1 2024-2025,18,0,0,0,20241,2020,1,A00,25.47,24.32,1.1499999999999986
158,0243472abf41,HK1 2024-2025,21,0,0,0,20241,2023,100,A00,20.75,19.55,1.1999999999999993
159,02475f6ea929,HK1 2024-2025,21,0,0,0,20241,2022,100,A00,24.78,22.44,2.34
160,024a7b213567,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,24.89,22.69,2.1999999999999993
161,024b929e3a1f,HK1 2024-2025,24,0,0,0,20241,2023,100,V00,23.62,20.93,2.6900000000000013
162,024e052f6e6d,HK1 2024-2025,24,0,0,0,20241,2023,100,V00,24.94,21.85,3.09
163,02525456824a,HK1 2024-2025,16,0,0,0,20241,2024,100,A00,22.72,21.33,1.3900000000000006
164,025ccb1c5721,HK1 2024-2025,15,0,0,0,20241,2022,100,A01,19.22,16.23,2.9899999999999984
165,026041bf9713,HK1 2024-2025,15,0,0,0,20241,2021,1,A01,24.88,24.03,0.8499999999999979
166,02626d830da5,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,24.34,24.14,0.1999999999999993
167,026f4f3ba28d,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,23.18,22.58,0.6000000000000014
168,0270489d5f64,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,24.85,23.93,0.9200000000000017
169,027f1d09c74f,HK1 2024-2025,23,0,0,0,20241,2023,100,V06,20.35,19.48,0.870000000000001
170,027f726f05f9,HK1 2024-2025,21,0,0,0,20241,2023,100,A00,23.97,23.2,0.7699999999999996
171,028319f5ae13,HK1 2024-2025,22,0,0,0,20241,2022,100,A00,25.6,25.4,0.20000000000000284
172,0288b284372b,HK1 2024-2025,25,0,0,0,20241,2021,1,A01,23.01,16.11,6.900000000000002
173,028fe960d78c,HK1 2024-2025,19,0,0,0,20241,2022,100,A00,25.21,25.11,0.10000000000000142
174,0294dd658b23,HK1 2024-2025,15,0,0,0,20241,2024,100,A01,24.47,23.92,0.5499999999999972
175,029f5069a616,HK1 2024-2025,23,0,0,0,20241,2023,100,A00,23.04,22.94,0.09999999999999787
176,02a51faace25,HK1 2024-2025,22,0,0,0,20241,2023,100,A00,22.45,17.16,5.289999999999999
177,02a59754a952,HK1 2024-2025,17,0,0,0,20241,2024,100,A01,26.17,24.27,1.9000000000000021
178,02aace6f7797,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,24.6,20.33,4.270000000000003
179,02b5b5169e0e,HK1 2024-2025,25,0,0,0,20241,2022,100,A00,25.16,23.29,1.870000000000001
180,02b89b141d49,HK1 2024-2025,27,0,0,0,20241,2022,100,A01,24.13,23.87,0.259999999999998
181,02bb6eedce33,HK1 2024-2025,17,0,0,0,20241,2024,100,A00,26.06,24.98,1.0799999999999983
182,02c89e376cf7,HK1 2024-2025,1,0,0,0,20241,2019,1,A00,19.45,18.71,0.7399999999999984
183,02cbc52a898e,HK1 2024-2025,19,0,0,0,20241,2023,100,D01,24.22,22.1,2.1199999999999974
184,02d881582698,HK1 2024-2025,23,0,0,0,20241,2021,1,A01,24.86,24.4,0.46000000000000085
185,02daf706f7bf,HK1 2024-2025,20,0,0,0,20241,2022,100,A00,23.62,21.6,2.0199999999999996
186,02df23ed9f4f,HK1 2024-2025,17,0,0,0,20241,2024,100,D01,24.87,24.74,0.13000000000000256
187,02eb087fd6bc,HK1 2024-2025,23,0,0,0,20241,2022,100,A00,19.04,15.7,3.34
188,02eee7710f27,HK1 2024-2025,2,0,0,0,20241,2020,1,V00,22.99,21.78,1.2099999999999973
189,02f30aa2c93c,HK1 2024-2025,25,0,0,0,20241,2023,402,K00,54.41,50.78,3.6299999999999955
190,02f3c046f08f,HK1 2024-2025,21,0,0,0,20241,2022,100,A01,23.24,21.72,1.5199999999999996
191,02f414a09ee7,HK1 2024-2025,20,0,0,0,20241,2022,100,A00,27.49,23.11,4.379999999999999
192,02f9a7066104,HK1 2024-2025,24,0,0,0,20241,2022,100,A01,22.17,20.06,2.110000000000003
193,0303cc889c2f,HK1 2024-2025,17,0,0,0,20241,2024,100,V01,22.03,21.02,1.0100000000000016
194,03083ab4f1d3,HK1 2024-2025,13,0,0,0,20241,2021,1,V02,24.29,22.88,1.4100000000000001
195,030976268682,HK1 2024-2025,47,0,0,0,20241,2021,1,A01,25.01,20.68,4.330000000000002
196,030fc857917a,HK1 2024-2025,14,0,0,0,20241,2021,1,A01,23.95,23.3,0.6499999999999986
197,0314a4f53b61,HK1 2024-2025,22,0,0,0,20241,2021,1,A00,23.0,22.2,0.8000000000000007
198,031f4fe2b421,HK1 2024-2025,24,0,0,0,20241,2022,100,A01,18.56,16.27,2.289999999999999
199,031f542b394c,HK1 2024-2025,19,0,0,0,20241,2022,100,V00,20.98,17.8,3.1799999999999997
200,03206ef57ded,HK1 2024-2025,18,0,0,0,20241,2021,1,A00,23.36,21.53,1.8299999999999983
201,0320d88899cf,HK1 2024-2025,12,0,0,0,20241,2019,1,A00,21.08,15.09,5.989999999999998
202,03272a751639,HK1 2024-2025,22,0,0,0,20241,2023,100,V00,21.51,21.17,0.33999999999999986
203,03298221c325,HK1 2024-2025,18,0,0,0,20241,2023,100,A00,24.54,24.07,0.46999999999999886
204,0330eadda33c,HK1 2024-2025,20,0,0,0,20241,2023,100,D01,24.49,24.2,0.28999999999999915
205,03375bc6629a,HK1 2024-2025,19,0,0,0,20241,2022,100,V00,25.37,20.74,4.630000000000003
206,0338b554171f,HK1 2024-2025,15,0,0,0,20241,2020,1,A00,23.94,22.02,1.9200000000000017
207,0338e6e5aee2,HK1 2024-2025,27,0,0,0,20241,2021,1,A01,23.31,22.97,0.33999999999999986
208,033a4c252713,HK1 2024-2025,15,0,0,0,20241,2024,100,A00,24.83,23.51,1.3199999999999967
209,033cf1dcfe88,HK1 2024-2025,23,0,0,0,20241,2023,100,D01,22.55,22.55,0.0
210,033de625fc8c,HK1 2024-2025,19,0,0,0,20241,2022,100,V00,25.69,20.7,4.990000000000002
211,0340ef1f6c05,HK1 2024-2025,35,0,0,0,20241,2021,1,A01,22.53,20.66,1.870000000000001
212,0344756b3a4f,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,24.53,23.82,0.7100000000000009
213,03498498f1a3,HK1 2024-2025,19,0,0,0,20241,2024,100,A00,25.68,25.28,0.3999999999999986
214,034b4db89354,HK1 2024-2025,8,0,0,0,20241,2021,1,A01,24.68,24.68,0.0
215,035000055da0,HK1 2024-2025,22,0,0,0,20241,2023,100,A00,23.66,22.72,0.9400000000000013
216,035aa5191de1,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,20.09,16.87,3.219999999999999
217,035d44f56754,HK1 2024-2025,20,0,0,0,20241,2022,100,A00,22.49,22.34,0.14999999999999858
218,0367a6b34f0a,HK1 2024-2025,14,0,0,0,20241,2024,100,V00,22.41,22.21,0.1999999999999993
219,036ce961c085,HK1 2024-2025,19,0,0,0,20241,2023,100,A01,24.95,22.68,2.2699999999999996
220,036f805c97d6,HK1 2024-2025,24,0,0,0,20241,2020,1,A01,22.38,21.35,1.0299999999999976
221,0372af72c7f1,HK1 2024-2025,8,0,0,0,20241,2020,1,A00,23.87,23.26,0.6099999999999994
222,0378dbe7eb45,HK1 2024-2025,15,0,0,0,20241,2024,200,A01,25.56,24.64,0.9199999999999982
223,037eb8de0096,HK1 2024-2025,25,0,0,0,20241,2022,100,A01,22.92,21.99,0.9300000000000033
224,0384089d8dcf,HK1 2024-2025,27,0,0,0,20241,2023,100,A00,26.03,24.51,1.5199999999999996
225,038c4fb4d9e2,HK1 2024-2025,19,0,0,0,20241,2022,100,V00,24.98,20.19,4.789999999999999
226,038dafc29eda,HK1 2024-2025,13,0,0,0,20241,2018,1,A00,18.14,17.54,0.6000000000000014
227,038e6a6fb1e5,HK1 2024-2025,19,0,0,0,20241,2023,100,D01,23.22,21.99,1.2300000000000004
228,038f9185df49,HK1 2024-2025,15,0,0,0,20241,2024,100,A01,23.74,23.66,0.0799999999999983
229,03922b1c10b4,HK1 2024-2025,15,0,0,0,20241,2024,100,D01,24.37,24.34,0.030000000000001137
230,039432f82de4,HK1 2024-2025,18,0,0,0,20241,2024,200,D01,25.67,24.74,0.9300000000000033
231,03981f4767e1,HK1 2024-2025,22,0,0,0,20241,2022,100,A00,21.09,16.54,4.550000000000001
232,039ee16b5051,HK1 2024-2025,19,0,0,0,20241,2024,100,A00,25.41,24.92,0.48999999999999844
233,039ee427c3d9,HK1 2024-2025,21,0,0,0,20241,2022,100,V02,22.79,20.9,1.8900000000000006
234,03a42a0af8ca,HK1 2024-2025,10,0,0,0,20241,2019,1,V00,19.61,19.11,0.5
235,03a816f24ee2,HK1 2024-2025,17,0,0,0,20241,2024,100,A00,25.14,25.07,0.07000000000000028
236,03aa89276d1a,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,23.73,22.53,1.1999999999999993
237,03ad334dcc03,HK1 2024-2025,22,0,0,0,20241,2022,100,A00,22.83,19.93,2.8999999999999986
238,03b327f20245,HK1 2024-2025,13,0,0,0,20241,2020,1,A00,18.97,16.18,2.789999999999999
239,03b64595df71,HK1 2024-2025,6,0,0,0,20241,2018,1,V00,20.42,19.11,1.3100000000000023
240,03c474c43e40,HK1 2024-2025,17,0,0,0,20241,2021,1,A00,23.7,23.21,0.48999999999999844
241,03c60edade7a,HK1 2024-2025,18,0,0,0,20241,2024,100,A00,24.69,22.55,2.1400000000000006
242,03cd71daa42a,HK1 2024-2025,19,0,0,0,20241,2023,100,A00,19.8,19.7,0.10000000000000142
243,03cfdcc74a59,HK1 2024-2025,4,0,0,0,20241,2020,1,V00,22.5,22.03,0.46999999999999886
244,03d1faaa568a,HK1 2024-2025,19,0,0,0,20241,2022,100,A00,23.96,19.72,4.240000000000002
245,03d518f1e9de,HK1 2024-2025,10,0,0,0,20241,2020,1,V02,24.58,21.64,2.9399999999999977
246,03d8361e3978,HK1 2024-2025,21,0,0,0,20241,2021,1,D07,23.19,23.1,0.08999999999999986
