MA_SO_SV,HOC_KY,CPA,GPA,TC_DANGKY,TC_HOANTHANH,semester_order,NAM_TUYENSINH,PTXT,TOHOP_XT,DIEM_TRUNGTUYEN,DIEM_CHUAN,COMPLETION_RATE,set_type,Prev_GPA,Prev_CPA,Prev_TC_HOANTHANH,Prev_TC_DANGKY,is_freshman,diem_vuot_chuan,nam_tuoi,semester_number,prev_gpa_cpa_diff,prev_completion_rate,load_factor,failed_last_sem,gpa_trend_slope,gpa_volatility,total_credits_failed,accumulated_fail_ratio,credit_velocity,aggressive_recovery,expected_real_credits
0029c0f6e072,HK1 2024-2025,0.0,0.0,2,0,20241,2020,1,V00,22.58,22.18,,TEST,2.22,2.95,3.0,3.0,0,0.3999999999999986,6,9,-0.73,0.9999999996666666,0.13513513512600436,0,0.014999992500003874,0.03162277660168477,10.0,0.07874015747969496,13.0,0,1.84251968504061
002dafe89f63,HK1 2024-2025,0.0,0.0,14,0,20241,2020,1,D07,26.23,21.81,,TEST,3.16,2.93,16.0,16.0,0,4.420000000000002,6,9,0.22999999999999998,0.9999999999375,0.7368421052243768,0,0.019999990000005016,0.04991659710624069,3.0,0.019736842105133313,16.555555555555557,0,13.723684210528134
0030bf7a79ad,HK1 2024-2025,0.0,0.0,19,0,20241,2024,200,A00,26.02,24.99,,TEST,-1.0,-1.0,0.0,0.0,1,1.0300000000000011,2,1,0.0,0.0,19000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,19.0
003128363a67,HK1 2024-2025,0.0,0.0,22,0,20241,2023,200,A00,25.65,25.49,,TEST,3.01,3.01,18.0,18.0,0,0.16000000000000014,3,3,0.0,0.9999999999444444,1.8857142855526532,0,0.019999960000079572,0.014142135623730649,0.0,0.0,11.666666666666666,0,22.0
003c3ce8e8b8,HK1 2024-2025,0.0,0.0,27,0,20241,2020,1,V00,25.06,21.98,,TEST,2.24,0.14,2.0,14.0,0,3.0799999999999983,6,9,2.1,0.14285714284693876,2.288135593026429,1,-0.03999998000000981,0.035939764421414465,33.0,0.23571428571260206,11.88888888888889,1,20.635714285759747
003f2228245a,HK1 2024-2025,0.0,0.0,9,0,20241,2020,1,A00,24.26,21.72,,TEST,2.14,1.29,11.0,22.0,0,2.5400000000000027,6,9,0.8500000000000001,0.49999999997727274,0.8653846153014053,1,0.02499998750000638,0.0454606056566196,57.0,0.38255033556790236,10.222222222222221,0,5.557046979888879
003f354f2523,HK1 2024-2025,0.0,0.0,18,0,20241,2022,100,A00,25.71,25.56,,TEST,3.32,3.1,23.0,23.0,0,0.15000000000000213,4,6,0.21999999999999975,0.9999999999565218,0.8490566037335351,0,-0.05999997000001505,0.06324555320336751,0.0,0.0,17.666666666666668,0,18.0
00427c18b9df,HK1 2024-2025,0.0,0.0,16,0,20241,2022,100,A01,24.58,23.25,,TEST,2.24,1.61,17.0,25.0,0,1.3299999999999983,4,5,0.6300000000000001,0.6799999999728,1.2499999999023437,1,-0.02499998750000616,0.08655441448399154,17.0,0.20987654320728547,12.8,0,12.641975308683433
00447c1c9c46,HK1 2024-2025,0.0,0.0,8,0,20241,2020,1,A01,21.49,19.31,,TEST,2.01,1.84,11.0,11.0,0,2.1799999999999997,6,9,0.1699999999999997,0.9999999999090909,0.8888888887901234,0,0.02499998750000616,0.03304037933599825,59.0,0.4244604316516226,8.88888888888889,0,4.604316546787019
004a76869c57,HK1 2024-2025,0.0,0.0,2,0,20241,2020,1,A00,22.09,21.4,,TEST,2.21,2.67,10.0,12.0,0,0.6900000000000013,6,9,-0.45999999999999996,0.8333333332638889,0.11627906976068145,1,0.02499998750000616,0.07762087348130027,12.0,0.08108108108053325,15.11111111111111,0,1.8378378378389335
0051798286b7,HK1 2024-2025,0.0,0.0,7,0,20241,2019,1,A00,21.73,19.48,,TEST,1.99,0.72,7.0,20.0,0,2.25,7,9,1.27,0.3499999999825,0.6363636363057851,1,-0.019999990000004905,0.023804761428477917,80.0,0.4232804232781837,12.11111111111111,0,4.037037037052714
0054c4a9a92c,HK1 2024-2025,0.0,0.0,21,0,20241,2023,100,A01,23.09,22.95,,TEST,1.98,1.56,16.0,18.0,0,0.14000000000000057,3,3,0.41999999999999993,0.8888888888395061,2.0322580643194588,1,-0.21999956000088017,0.15556349186104043,5.0,0.13888888888503087,10.333333333333334,1,18.083333333414352
0058438890a2,HK1 2024-2025,0.0,0.0,1,0,20241,2021,1,A01,20.59,15.76,,TEST,2.52,2.4,14.0,14.0,0,4.83,5,7,0.1200000000000001,0.9999999999285715,0.0499999999975,0,0.004999997500001365,0.12069244660154448,0.0,0.0,16.714285714285715,0,1.0
0058ae30b726,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A00,24.68,23.93,,TEST,2.6,1.67,18.0,21.0,0,0.75,5,7,0.9300000000000002,0.8571428571020409,1.0439560438986837,1,-0.05999997000001505,0.07141428428542872,13.0,0.10833333333243056,15.285714285714286,0,16.94166666668382
005aa414472d,HK1 2024-2025,0.0,0.0,20,0,20241,2022,100,A01,22.58,20.25,,TEST,2.08,1.83,20.0,23.0,0,2.3299999999999983,4,5,0.25,0.8695652173534971,1.6393442621607095,1,0.009999995000002508,0.4500740679784459,17.0,0.21794871794592371,12.2,0,15.641025641081525
005abf04381e,HK1 2024-2025,0.0,0.0,24,0,20241,2023,100,V00,25.49,21.95,,TEST,2.57,2.53,18.0,18.0,0,3.539999999999999,3,3,0.040000000000000036,0.9999999999444444,2.057142856966531,0,-0.00999998000004023,0.007071067811865795,0.0,0.0,11.666666666666666,0,24.0
005c38371f88,HK1 2024-2025,0.0,0.0,22,0,20241,2023,100,A00,20.25,16.83,,TEST,2.24,2.17,22.0,22.0,0,3.4200000000000017,3,3,0.07000000000000028,0.9999999999545455,1.8857142855526532,0,-0.13999972000055966,0.09899494936611643,0.0,0.0,11.666666666666666,0,22.0
005d8d94a42e,HK1 2024-2025,0.0,0.0,15,0,20241,2024,200,A01,25.71,25.68,,TEST,-1.0,-1.0,0.0,0.0,1,0.030000000000001137,2,1,0.0,0.0,15000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,15.0
005ee68917cd,HK1 2024-2025,0.0,0.0,15,0,20241,2024,200,D01,26.15,26.15,,TEST,-1.0,-1.0,0.0,0.0,1,0.0,2,1,0.0,0.0,15000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,15.0
005f6810cbce,HK1 2024-2025,0.0,0.0,11,0,20241,2021,1,A00,21.4,16.98,,TEST,1.7,0.81,9.0,18.0,0,4.419999999999998,5,7,0.8899999999999999,0.4999999999722222,1.2222222220864198,1,-0.019999990000005016,0.09742518497117005,45.0,0.41284403669346015,9.142857142857142,0,6.458715596371938
00622a55ea5f,HK1 2024-2025,0.0,0.0,22,0,20241,2021,1,A01,24.68,23.15,,TEST,1.87,1.05,11.0,19.0,0,1.5300000000000011,5,7,0.8200000000000001,0.5789473683905817,2.391304347566163,1,0.10999994500002759,0.10488088481701524,61.0,0.5041322314007923,8.571428571428571,1,10.909090909182568
00622ba0e093,HK1 2024-2025,0.0,0.0,17,0,20241,2022,100,A00,24.84,20.66,,TEST,2.63,2.3,21.0,21.0,0,4.18,4,5,0.33000000000000007,0.999999999952381,1.0624999999335938,0,-0.009999995000002508,0.2603043090948234,0.0,0.0,16.0,0,17.0
006511ece46c,HK1 2024-2025,0.0,0.0,16,0,20241,2023,100,D01,18.88,17.89,,TEST,1.71,1.41,17.0,21.0,0,0.9899999999999984,3,3,0.30000000000000004,0.8095238094852608,2.086956521466919,1,0.029999940000120025,0.021213203435596524,15.0,0.39473684209487536,7.666666666666667,0,9.684210526481994
006905d0eae3,HK1 2024-2025,0.0,0.0,23,0,20241,2023,100,A00,24.19,23.25,,TEST,2.47,2.19,16.0,18.0,0,0.9400000000000013,3,3,0.28000000000000025,0.8888888888395061,2.0294117645268166,1,-0.009999980000039786,0.007071067811865324,2.0,0.05555555555401235,11.333333333333334,1,21.722222222257717
006dfc5f9e87,HK1 2024-2025,0.0,0.0,13,0,20241,2021,1,V00,23.66,22.44,,TEST,2.65,2.34,16.0,18.0,0,1.2199999999999989,5,7,0.31000000000000005,0.8888888888395061,0.7222222221820987,1,-0.014999992500003874,0.022173557826084222,11.0,0.09649122806932903,14.714285714285714,0,11.745614035098722
0072d9ead36e,HK1 2024-2025,0.0,0.0,17,0,20241,2024,100,A00,19.19,16.73,,TEST,-1.0,-1.0,0.0,0.0,1,2.460000000000001,2,1,0.0,0.0,16999999999.999998,0,0.0,0.0,0.0,0.0,0.0,0,17.0
0075b7406dc9,HK1 2024-2025,0.0,0.0,18,0,20241,2024,100,A01,22.71,22.32,,TEST,-1.0,-1.0,0.0,0.0,1,0.39000000000000057,2,1,0.0,0.0,18000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,18.0
007df7cf08da,HK1 2024-2025,0.0,0.0,25,0,20241,2023,100,A00,25.38,24.65,,TEST,2.57,2.38,22.0,22.0,0,0.7300000000000004,3,3,0.18999999999999995,0.9999999999545455,2.2727272725206613,0,-0.29999940000120023,0.21213203435596428,0.0,0.0,11.0,0,25.0
0083137da9c9,HK1 2024-2025,0.0,0.0,22,0,20241,2021,1,A00,22.23,17.04,,TEST,1.88,0.75,10.0,23.0,0,5.190000000000001,5,7,1.13,0.43478260867674856,1.5714285713163265,1,0.04999997500001243,0.047958315233127075,36.0,0.287999999997696,12.714285714285714,0,15.664000000050688
0083153279ba,HK1 2024-2025,0.0,0.0,24,0,20241,2022,100,A00,25.15,20.04,,TEST,2.36,1.97,25.0,25.0,0,5.109999999999999,4,5,0.3899999999999999,0.99999999996,1.6901408449513986,0,-0.2649998675000664,0.4094712037087182,8.0,0.10126582278352828,14.2,0,21.56962025319532
0086b155f1ac,HK1 2024-2025,0.0,0.0,18,0,20241,2024,100,D07,23.96,23.79,,TEST,-1.0,-1.0,0.0,0.0,1,0.1700000000000017,2,1,0.0,0.0,18000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,18.0
0086e7e683c3,HK1 2024-2025,0.0,0.0,19,0,20241,2024,100,A01,19.84,19.39,,TEST,-1.0,-1.0,0.0,0.0,1,0.4499999999999993,2,1,0.0,0.0,19000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,19.0
00902632008e,HK1 2024-2025,0.0,0.0,18,0,20241,2024,100,A00,25.76,22.4,,TEST,-1.0,-1.0,0.0,0.0,1,3.360000000000003,2,1,0.0,0.0,18000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,18.0
0093a8bec4ee,HK1 2024-2025,0.0,0.0,13,0,20241,2023,100,V00,23.52,21.11,,TEST,2.11,0.0,0.0,20.0,0,2.41,3,3,2.11,0.0,3.89999999883,1,0.0,0.0,25.0,0.7142857142653062,3.3333333333333335,0,3.7142857145510195
0095322b228f,HK1 2024-2025,0.0,0.0,24,0,20241,2018,1,A00,18.59,16.03,,TEST,1.85,1.51,27.0,38.0,0,2.5599999999999987,8,7,0.3400000000000001,0.7105263157707757,1.7647058822231834,1,0.0,0.04358898943540678,57.0,0.42222222221909467,11.142857142857142,0,13.866666666741729
0096b8bfaff1,HK1 2024-2025,0.0,0.0,18,0,20241,2024,100,A00,22.36,22.31,,TEST,-1.0,-1.0,0.0,0.0,1,0.05000000000000071,2,1,0.0,0.0,18000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,18.0
009a2b8d9200,HK1 2024-2025,0.0,0.0,17,0,20241,2023,100,D01,20.03,17.11,,TEST,1.98,1.98,1.0,1.0,0,2.9200000000000017,3,3,0.0,0.9999999989999999,50.999999847,0,1.97999604000792,1.4000714267493641,13.0,0.928571428505102,0.3333333333333333,0,1.2142857154132662
009ea5859391,HK1 2024-2025,0.0,0.0,21,0,20241,2022,100,D07,22.71,21.5,,TEST,1.92,1.86,20.0,21.0,0,1.2100000000000009,4,5,0.05999999999999983,0.9523809523356009,1.5909090907885675,1,0.009999995000002508,0.09746794344808961,10.0,0.13157894736668974,13.2,0,18.236842105299516
00b0b8b46ada,HK1 2024-2025,0.0,0.0,12,0,20241,2024,100,V02,22.47,21.52,,TEST,-1.0,-1.0,0.0,0.0,1,0.9499999999999993,2,1,0.0,0.0,12000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,12.0
00b1d9e93732,HK1 2024-2025,0.0,0.0,19,0,20241,2024,100,A00,24.71,24.22,,TEST,-1.0,-1.0,0.0,0.0,1,0.490000000000002,2,1,0.0,0.0,19000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,19.0
00b3df084d76,HK1 2024-2025,0.0,0.0,13,0,20241,2021,1,V02,23.11,23.11,,TEST,2.66,2.46,16.0,16.0,0,0.0,5,7,0.20000000000000018,0.9999999999375,0.6914893616653462,0,-0.02499998750000616,0.07164728420068253,5.0,0.044642857142458546,15.285714285714286,0,12.41964285714804
00b67051bdd5,HK1 2024-2025,0.0,0.0,17,0,20241,2022,100,A01,24.1,20.34,,TEST,2.15,1.2,11.0,20.0,0,3.7600000000000016,4,5,0.95,0.5499999999725,1.4655172412529727,1,-0.02499998750000638,0.029439202887759378,17.0,0.22666666666364443,11.6,0,13.146666666718044
00b98e87f824,HK1 2024-2025,0.0,0.0,11,0,20241,2021,1,D07,23.71,21.93,,TEST,3.14,1.62,8.0,15.0,0,1.7800000000000011,5,5,1.52,0.5333333332977778,0.774647887269391,1,-0.02499998750000616,0.2677063067368167,7.0,0.08974358974243918,14.2,0,10.01282051283317
00b9b4a760fd,HK1 2024-2025,0.0,0.0,21,0,20241,2023,100,A00,23.23,21.9,,TEST,1.97,1.99,14.0,14.0,0,1.3300000000000018,3,3,-0.020000000000000018,0.9999999999285715,2.1724137928787157,0,0.0,0.0,2.0,0.0645161290301769,9.666666666666666,0,19.645161290366286
00beb038da7f,HK1 2024-2025,0.0,0.0,20,0,20241,2023,100,A00,21.12,19.92,,TEST,2.49,1.92,17.0,21.0,0,1.1999999999999993,3,3,0.5700000000000003,0.8095238094852608,1.9999999998,1,-0.16999966000067993,0.12020815280171303,4.0,0.11764705882006922,10.0,0,17.647058823598616
00bfbed43721,HK1 2024-2025,0.0,0.0,22,0,20241,2023,100,V00,26.68,21.45,,TEST,2.86,2.4,20.0,20.0,0,5.23,3,3,0.45999999999999996,0.99999999995,1.8857142855526532,0,-0.5899988200023603,0.4171930009000634,0.0,0.0,11.666666666666666,0,22.0
00c3a13310ec,HK1 2024-2025,0.0,0.0,20,0,20241,2023,409,X05,26.39,26.29,,TEST,2.21,1.71,15.0,20.0,0,0.10000000000000142,3,3,0.5,0.7499999999625,2.0689655170273484,1,0.06999986000027983,0.049497474683058366,8.0,0.21621621621037254,9.666666666666666,0,15.675675675792549
00c9025f14c3,HK1 2024-2025,0.0,0.0,17,0,20241,2020,1,A00,24.27,21.5,,TEST,2.23,1.1,7.0,10.0,0,2.7699999999999996,6,9,1.13,0.69999999993,1.1805555554735725,1,-0.03999998000001003,0.08301606270274758,28.0,0.1891891891879109,13.333333333333334,1,13.783783783805514
00cc6a1df981,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A01,24.43,15.92,,TEST,2.6,2.59,17.0,17.0,0,8.51,5,7,0.010000000000000231,0.9999999999411765,0.9405940593593766,0,0.11499994250002873,0.11030261405182883,2.0,0.016260162601493818,17.285714285714285,0,18.691056910571618
00cf448aabe0,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A00,23.52,15.84,,TEST,2.0,1.35,18.0,22.0,0,7.68,5,7,0.6499999999999999,0.8181818181446281,1.010638297818583,1,-0.10499994750002623,0.2538208029299411,17.0,0.1328124999989624,15.857142857142858,0,16.476562500019714
00d333f5bda1,HK1 2024-2025,0.0,0.0,17,0,20241,2021,1,A00,25.41,23.1,,TEST,2.36,1.92,17.0,18.0,0,2.3099999999999987,5,7,0.43999999999999995,0.9444444443919753,0.8095238094852608,1,-0.0849999575000212,0.07702813338861043,3.0,0.02459016393422467,17.0,0,16.58196721311818
00d519503816,HK1 2024-2025,0.0,0.0,19,0,20241,2023,100,A01,22.54,22.09,,TEST,2.94,2.59,18.0,20.0,0,0.4499999999999993,3,3,0.3500000000000001,0.899999999955,1.838709677241415,1,-0.10999978000043986,0.0777817459305203,2.0,0.06060606060422406,10.333333333333334,0,17.848484848519742
00dde779ae5d,HK1 2024-2025,0.0,0.0,25,0,20241,2022,100,A01,18.0,16.09,,TEST,1.79,1.06,16.0,24.0,0,1.9100000000000001,4,5,0.73,0.6666666666388888,2.31481481460048,1,-0.06499996750001619,0.15895492023421826,22.0,0.28947368420671743,10.8,1,17.763157894832066
00de0ac86d8b,HK1 2024-2025,0.0,0.0,18,0,20241,2023,100,A00,24.33,19.12,,TEST,1.38,0.77,10.0,15.0,0,5.209999999999997,3,3,0.6099999999999999,0.6666666666222222,1.9285714283647957,1,-0.14999970000060012,0.1060660171779823,5.0,0.15151515151056016,9.333333333333334,1,15.272727272809917
00e1185df99f,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A01,22.43,22.28,,TEST,2.79,3.23,19.0,19.0,0,0.14999999999999858,5,7,-0.43999999999999995,0.9999999999473684,0.9595959595474951,0,0.03999998000001003,0.11086778913041763,8.0,0.06299212598375596,17.0,0,17.803149606308637
00e28d46068a,HK1 2024-2025,0.0,0.0,21,0,20241,2022,100,A01,23.66,22.17,,TEST,2.71,2.29,21.0,22.0,0,1.4899999999999984,4,5,0.41999999999999993,0.9545454545020661,1.3815789472775277,1,-0.16499991750004128,0.16660832312142554,4.0,0.049999999999374996,15.2,0,19.950000000013127
00e3853bfd7f,HK1 2024-2025,0.0,0.0,18,0,20241,2021,1,A00,23.8,16.24,,TEST,2.23,2.75,20.0,20.0,0,7.560000000000002,5,7,-0.52,0.99999999995,0.882352941133218,0,0.07999996000002006,0.08180260794538691,7.0,0.05468749999957276,17.285714285714285,0,17.015625000007688
00e430df5068,HK1 2024-2025,0.0,0.0,22,0,20241,2023,100,A00,22.26,20.05,,TEST,1.51,1.14,16.0,18.0,0,2.210000000000001,3,3,0.3700000000000001,0.8888888888395061,2.129032257858481,1,-0.249999500001,0.1767766952966369,5.0,0.13888888888503087,10.333333333333334,1,18.94444444452932
00eb3b22ff96,HK1 2024-2025,0.0,0.0,11,0,20241,2020,1,A00,23.76,21.36,,TEST,1.78,1.17,10.0,17.0,0,2.400000000000002,6,9,0.6100000000000001,0.588235294083045,0.9482758619872176,1,0.004999997500001254,0.12038133853162869,56.0,0.3612903225783143,11.0,0,7.025806451638543
00efaad0a63f,HK1 2024-2025,0.0,0.0,17,0,20241,2020,1,A01,21.72,20.04,,TEST,2.03,0.97,7.0,12.0,0,1.6799999999999997,6,9,1.0599999999999998,0.5833333332847223,1.8085106381054774,1,-0.004999997500001365,0.020615528128088433,45.0,0.3214285714262755,10.555555555555555,1,11.535714285753317
00f0db67ab17,HK1 2024-2025,0.0,0.0,25,0,20241,2023,100,A00,25.32,24.38,,TEST,1.85,1.69,20.0,22.0,0,0.9400000000000013,3,3,0.16000000000000014,0.9090909090495868,2.419354838475546,1,0.05999988000024005,0.04242640687119289,2.0,0.06060606060422406,10.333333333333334,1,23.4848484848944
00f38e8bf55b,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A00,23.88,23.68,,TEST,2.31,2.21,26.0,26.0,0,0.1999999999999993,5,7,0.10000000000000009,0.9999999999615384,0.9793814432484855,0,-0.034999982500008665,0.10372238588334402,12.0,0.09448818897563395,16.428571428571427,0,17.204724409462955
00f5c95b322a,HK1 2024-2025,0.0,0.0,18,0,20241,2021,1,A00,21.47,16.13,,TEST,3.1,2.97,23.0,23.0,0,5.34,5,7,0.1299999999999999,0.9999999999565218,0.9090909090449953,0,-0.054999972500013684,0.06377042156569665,0.0,0.0,16.571428571428573,0,18.0
00fcc5b9f55e,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,A00,24.44,23.07,,TEST,2.14,1.86,14.0,19.0,0,1.370000000000001,5,7,0.28,0.7368421052243768,0.9405940593593766,1,0.02499998750000638,0.05099019513592846,16.0,0.12499999999902345,16.0,0,16.625000000018556
00fdd570ce18,HK1 2024-2025,0.0,0.0,17,0,20241,2021,1,A00,25.72,23.65,,TEST,2.48,2.63,20.0,20.0,0,2.0700000000000003,5,7,-0.1499999999999999,0.99999999995,0.8095238094852608,0,-0.04999997500001254,0.143845982448821,1.0,0.008333333333263889,17.0,0,16.858333333334514
01082947b009,HK1 2024-2025,0.0,0.0,19,0,20241,2023,409,X01,25.74,25.44,,TEST,2.9,3.0,20.0,20.0,0,0.29999999999999716,3,3,-0.10000000000000009,0.99999999995,1.7272727271157025,0,0.1299997400005199,0.0919238815542511,0.0,0.0,11.0,0,19.0
010d7d1b2bd1,HK1 2024-2025,0.0,0.0,19,0,20241,2022,100,V00,22.64,20.86,,TEST,2.16,1.93,19.0,19.0,0,1.7800000000000011,4,5,0.2300000000000002,0.9999999999473684,1.4615384614260354,0,-0.0749999625000187,0.3484609016805185,5.0,0.07142857142755102,13.0,0,17.64285714287653
0119e86a9672,HK1 2024-2025,0.0,0.0,9,0,20241,2020,1,A00,21.64,19.51,,TEST,2.08,0.22,2.0,23.0,0,2.129999999999999,6,8,1.86,0.08695652173534972,0.8823529410899654,1,-0.03999998000001003,0.05033222956847211,61.0,0.48031496062613926,8.25,0,4.677165354364747
011c26a59944,HK1 2024-2025,0.0,0.0,23,0,20241,2023,100,A01,24.24,24.19,,TEST,2.93,3.01,22.0,22.0,0,0.04999999999999716,3,3,-0.07999999999999963,0.9999999999545455,2.090909090719008,0,0.1399997200005601,0.09899494936611658,0.0,0.0,11.0,0,23.0
011d6793c06b,HK1 2024-2025,0.0,0.0,14,0,20241,2021,1,A01,25.68,25.63,,TEST,2.44,2.74,21.0,21.0,0,0.05000000000000071,5,7,-0.30000000000000027,0.999999999952381,0.8235294117162629,0,0.0,0.07438637868140469,16.0,0.13793103448156954,14.285714285714286,0,12.068965517258027
01224dfb3ee2,HK1 2024-2025,0.0,0.0,24,0,20241,2022,100,A00,20.56,16.08,,TEST,1.98,1.69,19.0,25.0,0,4.48,4,6,0.29000000000000004,0.7599999999696,1.49999999990625,1,0.06999996500001744,0.1247664484814194,26.0,0.24528301886561052,13.333333333333334,0,18.113207547225347
0125b1e056c0,HK1 2024-2025,0.0,0.0,15,0,20241,2020,1,B00,21.14,15.99,,TEST,2.68,2.35,6.0,6.0,0,5.15,6,7,0.33000000000000007,0.9999999998333333,0.9146341462856931,0,-0.03999998000000981,0.12093386622447706,8.0,0.0816326530603915,12.857142857142858,0,13.775510204094129
012d09f8413e,HK1 2024-2025,0.0,0.0,25,0,20241,2023,100,V00,23.63,21.22,,TEST,2.94,2.42,17.0,20.0,0,2.41,3,3,0.52,0.8499999999575,2.3437499997802735,1,-0.1399997200005601,0.09899494936611658,3.0,0.08571428571183674,10.666666666666666,1,22.85714285720408
013178321f7c,HK1 2024-2025,0.0,0.0,20,0,20241,2023,100,B00,18.72,17.16,,TEST,1.26,0.0,0.0,13.0,0,1.5599999999999987,3,3,1.26,0.0,5.454545453057851,1,-0.029999940000120025,0.021213203435596368,19.0,0.6333333333122222,3.6666666666666665,1,7.333333333755556
013bda91f864,HK1 2024-2025,0.0,0.0,12,0,20241,2018,1,V02,19.1,19.05,,TEST,2.4,2.33,6.0,9.0,0,0.05000000000000071,8,8,0.06999999999999984,0.6666666665925925,0.8695652173282923,1,0.019999990000005016,0.041129875597510475,19.0,0.1496062992114204,13.5,1,10.204724409462955
013bf4b1c8b2,HK1 2024-2025,0.0,0.0,16,0,20241,2024,100,A00,22.69,21.78,,TEST,-1.0,-1.0,0.0,0.0,1,0.9100000000000001,2,1,0.0,0.0,15999999999.999998,0,0.0,0.0,0.0,0.0,0.0,0,16.0
013cdd871ac3,HK1 2024-2025,0.0,0.0,24,0,20241,2022,100,D01,24.87,24.77,,TEST,2.73,2.68,21.0,21.0,0,0.10000000000000142,4,5,0.04999999999999982,0.999999999952381,1.5384615383629192,0,-0.10999994500002759,0.11195237082497793,0.0,0.0,15.6,0,24.0
